"throughfall.mm" "gross.prec.mm" "obs.date" "period" "funnel.id" "funnel.X.m" "funnel.Y.m" "canopy" "abs.distance" "rel.distance" "tree.id" "tree.X.m" "tree.Y.m" "species" "tree.height.m" "tree.dbh.cm" "crown.radius.m" "crown.beginning.m"
"1" 0 1 "2006-05-23" "leafed" 101 38.6788203221768 33.0662867029764 "spruce" 0.7865 0.228866579368544 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"2" 0 1.64 "2006-07-21" "leafed" 101 38.6788203221768 33.0662867029764 "spruce" 0.7865 0.228866579368544 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"3" 0 1.2 "2006-07-23" "leafed" 101 38.6788203221768 33.0662867029764 "spruce" 0.7865 0.228866579368544 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"4" 0 1.66 "2006-07-30" "leafed" 101 38.6788203221768 33.0662867029764 "spruce" 0.7865 0.228866579368544 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"5" 0 2.02 "2006-08-01" "leafed" 101 38.6788203221768 33.0662867029764 "spruce" 0.7865 0.228866579368544 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"6" 0 0.8 "2006-08-25" "leafed" 101 38.6788203221768 33.0662867029764 "spruce" 0.7865 0.228866579368544 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"7" 0.05 2.2 "2006-08-04" "leafed" 101 38.6788203221768 33.0662867029764 "spruce" 0.7865 0.228866579368544 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"8" 0.2 5 "2006-08-28" "leafed" 101 38.6788203221768 33.0662867029764 "spruce" 0.7865 0.228866579368544 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"9" 0.2 2.3 "2006-07-24" "leafed" 101 38.6788203221768 33.0662867029764 "spruce" 0.7865 0.228866579368544 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"10" 0.5 3.8 "2006-07-08" "leafed" 101 38.6788203221768 33.0662867029764 "spruce" 0.7865 0.228866579368544 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
"11" 0.2 1.5 "2006-08-21" "leafed" 101 38.6788203221768 33.0662867029764 "spruce" 0.7865 0.228866579368544 56 39.2900455474415 32.5713261247481 "spruce" 36.4 57.3 3.4365 18
